relative_path,size,extension,header,mtime
atlas/activitybigluccia_atlas.unity3d,558707,.unity3d,UnityFS,1775700700
atlas/activitybigrogue_atlas.unity3d,148769,.unity3d,UnityFS,1768371222
atlas/activitybigrogue_ponit_atlas.unity3d,152267,.unity3d,UnityFS,1768371222
atlas/activitybigstage1_atlas.unity3d,573203,.unity3d,UnityFS,1775700700
atlas/activitybigstage2_atlas.unity3d,213055,.unity3d,UnityFS,1764269901
atlas/activitycommon_atlas.unity3d,340348,.unity3d,UnityFS,1775700700
atlas/activitylittle01_atlas.unity3d,211268,.unity3d,UnityFS,1770499998
atlas/activitylittleadventure_atlas.unity3d,44044,.unity3d,UnityFS,1746161121
atlas/activitylittledaily_atlas.unity3d,1895,.unity3d,UnityFS,1746161128
atlas/activitylittlewanted_atlas.unity3d,88809,.unity3d,UnityFS,1775700700
atlas/activitymiddle01_atlas.unity3d,68355,.unity3d,UnityFS,1764269901
atlas/activitymiddle02_atlas.unity3d,107740,.unity3d,UnityFS,1764269900
atlas/activitymiddle03_atlas.unity3d,172079,.unity3d,UnityFS,1764269900
atlas/activitymiddle04_atlas.unity3d,297385,.unity3d,UnityFS,1764269704
atlas/activitymiddle05_atlas.unity3d,179890,.unity3d,UnityFS,1770873723
atlas/activitysandbox03_atlas.unity3d,672665,.unity3d,UnityFS,1764269704
atlas/activityworldboss_atlas.unity3d,140075,.unity3d,UnityFS,1775700700
atlas/activity_atlas.unity3d,1978834,.unity3d,UnityFS,1764269704
atlas/album_atlas.unity3d,438020,.unity3d,UnityFS,1770499998
atlas/archives_atlas.unity3d,83456,.unity3d,UnityFS,1764269900
atlas/arena_atlas.unity3d,211526,.unity3d,UnityFS,1764269901
atlas/bannar_atlas.unity3d,33215,.unity3d,UnityFS,1764269901
atlas/battlehistory_atlas.unity3d,64118,.unity3d,UnityFS,1764269901
atlas/battle_atlas.unity3d,439894,.unity3d,UnityFS,1775700700
atlas/blessing_atlas.unity3d,343949,.unity3d,UnityFS,1764269704
atlas/bonfirechallenge_atlas.unity3d,11061,.unity3d,UnityFS,1764269900
atlas/briefing_atlas.unity3d,307167,.unity3d,UnityFS,1775700701
atlas/canvas_default_atlas.unity3d,196817,.unity3d,UnityFS,1770499998
atlas/capital_atlas.unity3d,59599,.unity3d,UnityFS,1764269901
atlas/card_atlas.unity3d,523818,.unity3d,UnityFS,1764269704
atlas/career_atlas.unity3d,191674,.unity3d,UnityFS,1775700700
atlas/character_schedule_atlas.unity3d,90624,.unity3d,UnityFS,1764269900
atlas/charm_atlas.unity3d,152418,.unity3d,UnityFS,1764269901
atlas/chat_atlas.unity3d,82398,.unity3d,UnityFS,1770873723
atlas/click_default_atlas.unity3d,88621,.unity3d,UnityFS,1764269901
atlas/commerce_atlas.unity3d,326745,.unity3d,UnityFS,1764269704
atlas/common2_atlas.unity3d,894598,.unity3d,UnityFS,1770499998
atlas/common3_atlas.unity3d,44370,.unity3d,UnityFS,1775700700
atlas/common_atlas.unity3d,1570234,.unity3d,UnityFS,1775700701
atlas/common_effect_atlas.unity3d,1486822,.unity3d,UnityFS,1770499998
atlas/designation_atlas.unity3d,644402,.unity3d,UnityFS,1775700701
atlas/di_atlas.unity3d,687877,.unity3d,UnityFS,1764269704
atlas/editor_atlas.unity3d,9622,.unity3d,UnityFS,1764269900
atlas/effect_atlas.unity3d,691578,.unity3d,UnityFS,1764269704
atlas/elysiumplacement_atlas.unity3d,70426,.unity3d,UnityFS,1764269901
atlas/energybar_atlas.unity3d,46887,.unity3d,UnityFS,1769233376
atlas/envelopeconcept_atlas.unity3d,98932,.unity3d,UnityFS,1764269901
atlas/ewcommerce_atlas.unity3d,306924,.unity3d,UnityFS,1764269704
atlas/friend_atlas.unity3d,75166,.unity3d,UnityFS,1764269900
atlas/gacha_atlas.unity3d,546666,.unity3d,UnityFS,1770499999
atlas/gamelobbydock_atlas.unity3d,1478645,.unity3d,UnityFS,1770499999
atlas/gamelobby_atlas.unity3d,462408,.unity3d,UnityFS,1775700701
atlas/get_atlas.unity3d,158098,.unity3d,UnityFS,1764269900
atlas/guild_atlas.unity3d,227737,.unity3d,UnityFS,1764269900
atlas/headframe_arenacaiyuangungun_atlas.unity3d,116167,.unity3d,UnityFS,1764269901
atlas/headframe_arenagloria01_atlas.unity3d,132892,.unity3d,UnityFS,1764269900
atlas/headframe_arenajingzhongdewo_atlas.unity3d,89182,.unity3d,UnityFS,1764269900
atlas/headframe_arenalinglanhuakai_atlas.unity3d,28436,.unity3d,UnityFS,1764269900
atlas/headframe_arenasafiyyah01_atlas.unity3d,84957,.unity3d,UnityFS,1776544732
atlas/headframe_arenasafiyyah_atlas.unity3d,84970,.unity3d,UnityFS,1764269901
atlas/headframe_atlas.unity3d,1880,.unity3d,UnityFS,1764269900
atlas/headframe_momo01_atlas.unity3d,62876,.unity3d,UnityFS,1776544732
atlas/headframe_operation16_atlas.unity3d,81026,.unity3d,UnityFS,1764269901
atlas/head_frame_agata01_atlas.unity3d,72419,.unity3d,UnityFS,1776544732
atlas/head_frame_blackhair01_atlas.unity3d,62197,.unity3d,UnityFS,1776544732
atlas/head_frame_cocoanawal01_atlas.unity3d,87094,.unity3d,UnityFS,1776544732
atlas/head_frame_hunter01_atlas.unity3d,48716,.unity3d,UnityFS,1776544732
atlas/head_frame_lukamar01_atlas.unity3d,61061,.unity3d,UnityFS,1776544732
atlas/head_frame_redhair01_atlas.unity3d,57057,.unity3d,UnityFS,1776544732
atlas/head_frame_spinanna01_atlas.unity3d,92900,.unity3d,UnityFS,1776544732
atlas/head_frame_spmaitha01_atlas.unity3d,110253,.unity3d,UnityFS,1776544732
atlas/infinitechallenge_atlas.unity3d,130730,.unity3d,UnityFS,1769233376
atlas/instruction_atlas.unity3d,437825,.unity3d,UnityFS,1764269704
atlas/intelligence_atlas.unity3d,164768,.unity3d,UnityFS,1764269900
atlas/joystick_atlas.unity3d,45476,.unity3d,UnityFS,1746161128
atlas/loading_atlas.unity3d,82720,.unity3d,UnityFS,1764269901
atlas/loading_default_atlas.unity3d,18230,.unity3d,UnityFS,1764269901
atlas/loadlight_atlas.unity3d,186096,.unity3d,UnityFS,1764269900
atlas/loginreward_atlas.unity3d,40457,.unity3d,UnityFS,1764269901
atlas/logo_atlas.unity3d,254522,.unity3d,UnityFS,1764269901
atlas/mainui_atlas.unity3d,141780,.unity3d,UnityFS,1764269900
atlas/masklogin_default_atlas.unity3d,41895,.unity3d,UnityFS,1764269901
atlas/material_atlas.unity3d,481325,.unity3d,UnityFS,1775700701
atlas/mercenary_atlas.unity3d,158661,.unity3d,UnityFS,1764269901
atlas/messagebox_atlas.unity3d,127638,.unity3d,UnityFS,1764269900
atlas/messagebox_default_atlas.unity3d,21387,.unity3d,UnityFS,1764269901
atlas/missiondetail_atlas.unity3d,307463,.unity3d,UnityFS,1776544732
atlas/moduleafk_atlas.unity3d,460259,.unity3d,UnityFS,1770499999
atlas/obtbattlepass_atlas.unity3d,128429,.unity3d,UnityFS,1770499999
atlas/onlinebattlepass_atlas.unity3d,537635,.unity3d,UnityFS,1764269704
atlas/onlineexpedition_atlas.unity3d,35065,.unity3d,UnityFS,1775700701
atlas/onlineshoprecommend01_atlas.unity3d,225816,.unity3d,UnityFS,1764269901
atlas/onlineshop_atlas.unity3d,725336,.unity3d,UnityFS,1764269704
atlas/onlinetech_atlas.unity3d,479017,.unity3d,UnityFS,1770499999
atlas/operationactivity_01_atlas.unity3d,82395,.unity3d,UnityFS,1749309905
atlas/operationactivity_02_atlas.unity3d,62796,.unity3d,UnityFS,1746161128
atlas/operationactivity_04_atlas.unity3d,185009,.unity3d,UnityFS,1764269900
atlas/operationactivity_08_atlas.unity3d,69840,.unity3d,UnityFS,1764269901
atlas/operationactivity_09_atlas.unity3d,276598,.unity3d,UnityFS,1764269704
atlas/operationactivity_13_atlas.unity3d,157697,.unity3d,UnityFS,1746161128
atlas/operationactivity_15_atlas.unity3d,96275,.unity3d,UnityFS,1776544732
atlas/operationactivity_17_atlas.unity3d,1893,.unity3d,UnityFS,1746161128
atlas/operationactivity_abyss_atlas.unity3d,149862,.unity3d,UnityFS,1749309905
atlas/operationactivity_annualreviews_01_atlas.unity3d,268217,.unity3d,UnityFS,1770499999
atlas/operationactivity_annualreviews_npc_atlas.unity3d,350963,.unity3d,UnityFS,1770499999
atlas/operationactivity_append_schedule_01_atlas.unity3d,1334128,.unity3d,UnityFS,1764269704
atlas/operationactivity_append_schedule_02_atlas.unity3d,2200964,.unity3d,UnityFS,1764269704
atlas/operationactivity_append_schedule_03_atlas.unity3d,178104,.unity3d,UnityFS,1764269901
atlas/operationactivity_append_schedule_04_atlas.unity3d,1051402,.unity3d,UnityFS,1775700701
atlas/operationactivity_append_schedule_05_atlas.unity3d,261592,.unity3d,UnityFS,1764269902
atlas/operationactivity_append_schedule_06_atlas.unity3d,417549,.unity3d,UnityFS,1775700701
atlas/operationactivity_append_shop_01_atlas.unity3d,394535,.unity3d,UnityFS,1764269704
atlas/operationactivity_append_skin_01_atlas.unity3d,303857,.unity3d,UnityFS,1770499999
atlas/operationactivity_append_starup_01_atlas.unity3d,91612,.unity3d,UnityFS,1766271076
atlas/operationactivity_append_wish_01_atlas.unity3d,68567,.unity3d,UnityFS,1764269900
atlas/operationactivity_atlas.unity3d,534968,.unity3d,UnityFS,1775700701
atlas/operationactivity_big03_5_atlas.unity3d,26094,.unity3d,UnityFS,1746161128
atlas/operationactivity_bigstage_01_atlas.unity3d,175211,.unity3d,UnityFS,1764269901
atlas/operationactivity_bigstage_02_atlas.unity3d,97873,.unity3d,UnityFS,1764269901
atlas/operationactivity_checkin_01_atlas.unity3d,411697,.unity3d,UnityFS,1770873724
atlas/operationactivity_checkin_02_atlas.unity3d,446716,.unity3d,UnityFS,1770873724
atlas/operationactivity_checkin_03_atlas.unity3d,464299,.unity3d,UnityFS,1770873724
atlas/operationactivity_checkin_04_atlas.unity3d,448971,.unity3d,UnityFS,1770873724
atlas/operationactivity_checkin_05_atlas.unity3d,176895,.unity3d,UnityFS,1775700701
atlas/operationactivity_collectionrole_01_atlas.unity3d,29949,.unity3d,UnityFS,1775700701
atlas/operationactivity_cooking.unity3d,13994,.unity3d,UnityFS,1775700701
atlas/operationactivity_cooking_atlas.unity3d,14004,.unity3d,UnityFS,1776544732
atlas/operationactivity_crimsonnightday7_atlas.unity3d,121335,.unity3d,UnityFS,1776544732
atlas/operationactivity_crimsonnightresult_atlas.unity3d,238258,.unity3d,UnityFS,1749309905
atlas/operationactivity_crimsonnight_atlas.unity3d,47370,.unity3d,UnityFS,1749309905
atlas/operationactivity_customize_guildconstruct_01_atlas.unity3d,376137,.unity3d,UnityFS,1764269704
atlas/operationactivity_customize_jigsaw_01_atlas.unity3d,1378457,.unity3d,UnityFS,1773279266
atlas/operationactivity_customize_web_01_atlas.unity3d,211823,.unity3d,UnityFS,1764269901
atlas/operationactivity_daily02_atlas.unity3d,102477,.unity3d,UnityFS,1746161128
atlas/operationactivity_daily03_atlas.unity3d,88938,.unity3d,UnityFS,1746161128
atlas/operationactivity_daily_01_atlas.unity3d,1901,.unity3d,UnityFS,1764269901
atlas/operationactivity_daily_atlas.unity3d,58352,.unity3d,UnityFS,1746161128
atlas/operationactivity_friendlymatch_atlas.unity3d,145270,.unity3d,UnityFS,1764269901
atlas/operationactivity_guildconstruct_atlas.unity3d,357136,.unity3d,UnityFS,1749309818
atlas/operationactivity_guildgrant_atlas.unity3d,27252,.unity3d,UnityFS,1749309905
atlas/operationactivity_halfyearday7_atlas.unity3d,84611,.unity3d,UnityFS,1776544732
atlas/operationactivity_halfyearreadyready_atlas.unity3d,1907,.unity3d,UnityFS,1746161128
atlas/operationactivity_halfyearready_atlas.unity3d,33910,.unity3d,UnityFS,1746161128
atlas/operationactivity_halfyear_atlas.unity3d,80259,.unity3d,UnityFS,1746161128
atlas/operationactivity_invitation_atlas.unity3d,82718,.unity3d,UnityFS,1764269900
atlas/operationactivity_jigsaw_atlas.unity3d,342510,.unity3d,UnityFS,1770499999
atlas/operationactivity_million_atlas.unity3d,223141,.unity3d,UnityFS,1764269901
atlas/operationactivity_obtday14_atlas.unity3d,57491,.unity3d,UnityFS,1776544732
atlas/operationactivity_obtday7_atlas.unity3d,150136,.unity3d,UnityFS,1776544732
atlas/operationactivity_other_01_atlas.unity3d,1899,.unity3d,UnityFS,1764269900
atlas/operationactivity_prequelnewgameplus_atlas.unity3d,93619,.unity3d,UnityFS,1749309905
atlas/operationactivity_return_01_atlas.unity3d,368079,.unity3d,UnityFS,1764269704
atlas/operationactivity_return_atlas.unity3d,368099,.unity3d,UnityFS,1749309818
atlas/operationactivity_sandboxquest_01_atlas.unity3d,1906,.unity3d,UnityFS,1764269900
atlas/operationactivity_sandboxquest_02_atlas.unity3d,44749,.unity3d,UnityFS,1764269900
atlas/operationactivity_sandboxresult_01_atlas.unity3d,347579,.unity3d,UnityFS,1769233261
atlas/operationactivity_schedule_atlas.unity3d,1901,.unity3d,UnityFS,1764269900
atlas/operationactivity_skingachaspsafiyyah_atlas.unity3d,1910,.unity3d,UnityFS,1746161128
atlas/operationactivity_skingacha_atlas.unity3d,221867,.unity3d,UnityFS,1746161128
atlas/operationactivity_skin_01_atlas.unity3d,375785,.unity3d,UnityFS,1746161116
atlas/operationactivity_sprawiyah_atlas.unity3d,87321,.unity3d,UnityFS,1764269901
atlas/operationactivity_tillingandharvest_atlas.unity3d,150895,.unity3d,UnityFS,1776544732
atlas/operationactivity_tower_01_atlas.unity3d,351946,.unity3d,UnityFS,1764269704
atlas/operationactivity_tower_atlas.unity3d,138195,.unity3d,UnityFS,1749309905
atlas/operationactivity_tw1year.unity3d,257259,.unity3d,UnityFS,1746161128
atlas/operationactivity_tw1year_atlas.unity3d,251953,.unity3d,UnityFS,1764269901
atlas/operationactivity_warmingwinterday7_atlas.unity3d,140364,.unity3d,UnityFS,1776544732
atlas/operationactivity_watcherday14_atlas.unity3d,56741,.unity3d,UnityFS,1776544732
atlas/operationactivity_web2spring_atlas.unity3d,53913,.unity3d,UnityFS,1749309905
atlas/operationactivity_web3cocoa_atlas.unity3d,33944,.unity3d,UnityFS,1749309905
atlas/operationactivity_webclassroomofcaris_atlas.unity3d,32631,.unity3d,UnityFS,1749309905
atlas/operationactivity_wishofspring_atlas.unity3d,90381,.unity3d,UnityFS,1776544732
atlas/operationactivity_wish_atlas.unity3d,56391,.unity3d,UnityFS,1746161128
atlas/prequelcapital_atlas.unity3d,133442,.unity3d,UnityFS,1770499999
atlas/prequelcluewall_atlas.unity3d,437960,.unity3d,UnityFS,1764269704
atlas/prequelmain_atlas.unity3d,17110,.unity3d,UnityFS,1764269901
atlas/prequelreport_atlas.unity3d,852974,.unity3d,UnityFS,1764269704
atlas/prequelsandboxlauncher_atlas.unity3d,126883,.unity3d,UnityFS,1746161128
atlas/prequelsandbox_atlas.unity3d,126862,.unity3d,UnityFS,1764269901
atlas/prequeltarget_atlas.unity3d,112428,.unity3d,UnityFS,1764269901
atlas/prequeltraining_atlas.unity3d,102151,.unity3d,UnityFS,1764269900
atlas/prequelunit_atlas.unity3d,18303,.unity3d,UnityFS,1764269901
atlas/questmain_atlas.unity3d,93384,.unity3d,UnityFS,1764269901
atlas/quest_atlas.unity3d,135284,.unity3d,UnityFS,1770499999
atlas/ranking_atlas.unity3d,32650,.unity3d,UnityFS,1764269900
atlas/result_atlas.unity3d,533883,.unity3d,UnityFS,1770499999
atlas/revelation_atlas.unity3d,29633,.unity3d,UnityFS,1764269901
atlas/reward_atlas.unity3d,63073,.unity3d,UnityFS,1764269900
atlas/richman2_background_atlas.unity3d,303707,.unity3d,UnityFS,1764269704
atlas/richman2_cartoon_atlas.unity3d,1889,.unity3d,UnityFS,1764269901
atlas/richman2_characters_atlas.unity3d,320381,.unity3d,UnityFS,1764269704
atlas/richman2_dice_atlas.unity3d,136014,.unity3d,UnityFS,1764269901
atlas/richman2_grid_atlas.unity3d,174295,.unity3d,UnityFS,1764269900
atlas/richman2_house_atlas.unity3d,190229,.unity3d,UnityFS,1770499999
atlas/richman2_ui_atlas.unity3d,417996,.unity3d,UnityFS,1770499999
atlas/richman_animation_atlas.unity3d,58346,.unity3d,UnityFS,1776544732
atlas/richman_background_atlas.unity3d,168005,.unity3d,UnityFS,1776544732
atlas/richman_bridge_atlas.unity3d,13007,.unity3d,UnityFS,1776544732
atlas/richman_characters_atlas.unity3d,92235,.unity3d,UnityFS,1776544732
atlas/richman_grid_atlas.unity3d,19248,.unity3d,UnityFS,1776544732
atlas/richman_mission_atlas.unity3d,514379,.unity3d,UnityFS,1776544732
atlas/richman_ui_atlas.unity3d,56347,.unity3d,UnityFS,1776544732
atlas/rolecard_atlas.unity3d,49314,.unity3d,UnityFS,1764269900
atlas/rolefriendship_atlas.unity3d,260997,.unity3d,UnityFS,1764269901
atlas/role_atlas.unity3d,355454,.unity3d,UnityFS,1770499999
atlas/sandboxelaman_atlas.unity3d,343210,.unity3d,UnityFS,1770500000
atlas/sandboxlauncher_atlas.unity3d,930329,.unity3d,UnityFS,1764269704
atlas/sandboxroute_atlas.unity3d,78430,.unity3d,UnityFS,1764269901
atlas/sandboxtechtree_atlas.unity3d,213058,.unity3d,UnityFS,1764269900
atlas/scenario_atlas.unity3d,164019,.unity3d,UnityFS,1764269902
atlas/selectstage_atlas.unity3d,554674,.unity3d,UnityFS,1770500000
atlas/setting_atlas.unity3d,167410,.unity3d,UnityFS,1764269900
atlas/share_atlas.unity3d,140278,.unity3d,UnityFS,1764269901
atlas/shop_atlas.unity3d,12194,.unity3d,UnityFS,1764269900
atlas/smithy_atlas.unity3d,196224,.unity3d,UnityFS,1764269900
atlas/target_atlas.unity3d,42394,.unity3d,UnityFS,1770500000
atlas/task02_atlas.unity3d,192167,.unity3d,UnityFS,1764269900
atlas/tavern_atlas.unity3d,29853,.unity3d,UnityFS,1764269901
atlas/terrain_atlas.unity3d,99303,.unity3d,UnityFS,1770499999
atlas/tmpdesignationflow03_atlas.unity3d,38470,.unity3d,UnityFS,1764269902
atlas/tmpdesignationflow07_atlas.unity3d,42374,.unity3d,UnityFS,1764269901
atlas/tmpdesignationflow08_atlas.unity3d,42359,.unity3d,UnityFS,1776544732
atlas/tmpdesignationflow09_atlas.unity3d,24519,.unity3d,UnityFS,1776544732
atlas/tmpdesignationflow11_atlas.unity3d,24158,.unity3d,UnityFS,1776544732
atlas/tmpdesignationflow12_atlas.unity3d,28024,.unity3d,UnityFS,1776544732
atlas/tmpdesignationflow19_atlas.unity3d,34050,.unity3d,UnityFS,1776544732
atlas/towerreverse_atlas.unity3d,1883,.unity3d,UnityFS,1764269901
atlas/tower_atlas.unity3d,154276,.unity3d,UnityFS,1764269900
atlas/training_atlas.unity3d,36553,.unity3d,UnityFS,1764269901
atlas/tutorial_atlas.unity3d,34403,.unity3d,UnityFS,1764269900
atlas/ui_light_atlas.unity3d,736700,.unity3d,UnityFS,1770500000
atlas/warehouse_atlas.unity3d,128940,.unity3d,UnityFS,1764269901
atlas/weather_atlas.unity3d,17663,.unity3d,UnityFS,1775700701
atlas/workshop_atlas.unity3d,451451,.unity3d,UnityFS,1770500000
atlas/worldmaps_atlas.unity3d,524178,.unity3d,UnityFS,1775700701
audio/bnk_aida.bnk,78989,.bnk,xor_XD_Audio_bank,1758941810
audio/bnk_alter_jian_channel_b.bnk,21720,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_anna.bnk,151160,.bnk,xor_XD_Audio_bank,1775700707
audio/bnk_annaskin01.bnk,151166,.bnk,xor_XD_Audio_bank,1775700707
audio/bnk_archer_altercharge_di_b.bnk,17949,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_archer_alter_cast_b_reversal.bnk,15537,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_archer_buff_poisonhit_01.bnk,25920,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_archer_cursehit_01.bnk,44677,.bnk,xor_XD_Audio_bank,1775700704
audio/bnk_archer_firehit_01.bnk,13823,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_archer_hatehit_01.bnk,23134,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_archer_hatehit_02_impact.bnk,27341,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_archer_icehit_01.bnk,28596,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_archer_jujicurve_attack.bnk,14016,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_archer_jujicurve_cast.bnk,20906,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_archer_jujicurve_hit.bnk,18349,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_archer_leather.bnk,93836,.bnk,xor_XD_Audio_bank,1758941810
audio/bnk_archer_light_bullet_02.bnk,22619,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_archer_light_bullet_03.bnk,23810,.bnk,xor_XD_Audio_bank,1775700705
audio/bnk_archer_normalhit.bnk,28944,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_archer_nylon.bnk,158453,.bnk,xor_XD_Audio_bank,1775700704
audio/bnk_archer_poisonhit_01.bnk,17130,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_archer_qiang_cast_b.bnk,19609,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_archer_rainhit_01.bnk,25439,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_archer_ready_01.bnk,16907,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_archer_ready_02.bnk,21029,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_archer_skill_attack_fire.bnk,9449,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_archer_skill_attack_ice.bnk,8870,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_archer_skill_attack_poison.bnk,9336,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_archer_skill_attack_pur.bnk,9448,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_archer_skill_attack_red.bnk,7577,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_archer_skill_attack_yellow.bnk,10109,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_archer_specialhit.bnk,13615,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_arrowfx_loop_01.bnk,11749,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_arrowfx_loop_02.bnk,11749,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_arrowfx_smoke_02.bnk,37943,.bnk,xor_XD_Audio_bank,1775700704
audio/bnk_arrowsfx_fx_blackfire_01.bnk,25523,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_arrowsfx_fx_smoke_03.bnk,21165,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_arrow_bomb_01.bnk,51465,.bnk,xor_XD_Audio_bank,1775700704
audio/bnk_arrow_normalattack1.bnk,9389,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_arrow_normalattack2.bnk,11853,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_assassin_nylon.bnk,284442,.bnk,xor_XD_Audio_bank,1775700704
audio/bnk_beipanqishi.bnk,241058,.bnk,xor_XD_Audio_bank,1775700707
audio/bnk_berserkerf_attacksword_aoe.bnk,12586,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_berserkerf_attacksword_pur.bnk,9079,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_berserkerf_collide_1.bnk,18852,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_berserkerf_collide_2.bnk,21980,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_berserkerf_ground_smoke_1.bnk,12870,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_berserkerf_lightattack.bnk,9122,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_berserkerf_thump.bnk,21575,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_berserkerf_thump_attack.bnk,11356,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_berserkerf_thump_attack_01.bnk,10060,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_berserker_armour.bnk,81526,.bnk,xor_XD_Audio_bank,1758941810
audio/bnk_berserker_bladestorm.bnk,16610,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_berserker_bladestorm_pur.bnk,18087,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_berserker_bladestorm_reverse.bnk,16610,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_berserker_leather.bnk,175661,.bnk,xor_XD_Audio_bank,1775700704
audio/bnk_blood_normalhit.bnk,12252,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_bomber_leather.bnk,87048,.bnk,xor_XD_Audio_bank,1758941810
audio/bnk_boom_hit_cross.bnk,101,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_boqirongrong.bnk,136656,.bnk,xor_XD_Audio_bank,1775700707
audio/bnk_buff_attackdown.bnk,18621,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_buff_attack_down.bnk,18639,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_buff_attack_up.bnk,21726,.bnk,xor_XD_Audio_bank,1775700706
audio/bnk_buff_burn_loop.bnk,35849,.bnk,xor_XD_Audio_bank,1775700704
audio/bnk_buff_defence_down.bnk,20425,.bnk,xor_XD_Audio_bank,1775700706
